"plate_well","plate","well","identifier","hit","welltype","create_date","fp","fp_1","fi","fi_1","p","p_1","s","s_1"
"1799N16","1799","N16","https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/HMS1799N16","0","X","2015-08-31 19:12","202.2","212.5","118723974.0","107123232.0","51587510.0","46415637.0","15548954.0","14291958.0"
"1799N15","1799","N15","https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/HMS1799N15","0","X","2015-08-31 19:12","274.6","275.1","45054959.0","45267846.0","19160697.0","19248124.0","6733565.0","6771598.0"
"1799N14","1799","N14","https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/HMS1799N14","0","X","2015-08-31 19:12","272.5","263.9","44224107.0","44773023.0","18820413.0","19106057.0","6583281.0","6560909.0"
"1799N13","1799","N13","https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/HMS1799N13","0","X","2015-08-31 19:12","274.6","271.6","45982513.0","46301207.0","19554967.0","19710062.0","6872579.0","6881083.0"
"1799N12","1799","N12","https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/HMS1799N12","0","X","2015-08-31 19:12","274.1","274.1","44298585.0","44610426.0","18842293.0","18974588.0","6613999.0","6661250.0"
"1799N11","1799","N11","https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/HMS1799N11","0","X","2015-08-31 19:12","279.1","274.2","44903439.0","45163377.0","19068377.0","19209221.0","6766685.0","6744935.0"
"1799N10","1799","N10","https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/HMS1799N10","0","X","2015-08-31 19:12","275.2","273.1","44210114.0","43888522.0","18798108.0","18673710.0","6613898.0","6541102.0"
"1799N09","1799","N09","https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/HMS1799N09","0","X","2015-08-31 19:12","276.8","270.0","44821026.0","45592693.0","19047894.0","19418385.0","6725238.0","6755923.0"
"1799N08","1799","N08","https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/HMS1799N08","0","X","2015-08-31 19:12","277.6","276.2","44093868.0","44447920.0","18733893.0","18892751.0","6626082.0","6662418.0"
"1799N07","1799","N07","https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/HMS1799N07","0","X","2015-08-31 19:12","273.0","270.5","46337753.0","45848394.0","19716370.0","19524210.0","6905013.0","6799974.0"
"1799N06","1799","N06","https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/HMS1799N06","0","X","2015-08-31 19:12","275.9","277.3","43646444.0","43961769.0","18553875.0","18679508.0","6538694.0","6602753.0"
"1799N05","1799","N05","https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/HMS1799N05","0","X","2015-08-31 19:12","270.7","267.4","43349154.0","43647012.0","18458331.0","18604609.0","6432492.0","6437794.0"
"1799N04","1799","N04","https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/HMS1799N04","0","X","2015-08-31 19:12","273.1","266.9","44885242.0","45227838.0","19097510.0","19281643.0","6690222.0","6664552.0"
"1799N03","1799","N03","https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/HMS1799N03","0","X","2015-08-31 19:12","279.2","272.0","44343092.0","44832782.0","18830087.0","19082493.0","6682918.0","6667796.0"
"1799N02","1799","N02","https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/HMS1799N02","0","X","2015-08-31 19:12","270.8","271.5","45150972.0","45076184.0","19225190.0","19188635.0","6700592.0","6698914.0"
"1799N01","1799","N01","https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/HMS1799N01","0","X","2015-08-31 19:12","271.6","262.1","47743070.0","47101254.0","20323484.0","20111106.0","7096102.0","6879042.0"
"1799M24","1799","M24","https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/HMS1799M24","0","N","2015-08-31 19:12","264.7","258.4","45120429.0","45485622.0","19249600.0","19443716.0","6621229.0","6598190.0"
